path,domain,bytes,lines,kind,scan_signals,sha256
app/src/main/res/mipmap-xxxhdpi/ic_launcher.webp,resources,3844,,binary-metadata-only,,f98fef5bc3bfe5b65692c40ad1cbae2bec4faf9f1b249c397626740db71b62d8
app/src/main/res/raw/ahtv.js,resources,1248,39,text-static-inventory,,1cc488114605be3c91554fe811f436096e864a3d9371d9043320a89897479432
app/src/main/res/raw/ahtv1.js,resources,2024,76,text-static-inventory,,c4d1a79f258fb18472ccc378eeacc34bbc7034172ca573176518b06112ae012c
app/src/main/res/raw/ahtv2.js,resources,2459,89,text-static-inventory,media,d3db6046938f34c04e09c043e2cc011644e1b67f5c4f7c7981b9b3291abe9c56
app/src/main/res/raw/channels.txt,resources,221582,1,text-static-inventory,,dded588602b971251bed8682eeac5a365ca3bfd9be2f22b325ae46e8f2057883
app/src/main/res/raw/cloudflare.txt,resources,0,0,text-static-inventory,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
app/src/main/res/raw/gdtv.js,resources,1678,44,text-static-inventory,,d61824f55af86b67d860bbb179bba48f558a089b4b17c39b66ae7d6b97e246fd
app/src/main/res/raw/github_private.txt,resources,0,0,text-static-inventory,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
app/src/main/res/raw/gua64min.js,resources,1512,4,text-static-inventory,network,8fa2ca2e13fe21616047ea72e20b4e0810273cf1505102034e409dfb921dc288
app/src/main/res/raw/index.html,resources,15311,471,text-static-inventory,network,a8a93cd4112f1a98b96dbb0346349d4f469df784adb85b9b26f57a0fb7e81156
app/src/main/res/raw/jxtv1.js,resources,2715,90,text-static-inventory,,12e51177c15e8efbe3963aaaf2f99be9cde16d34b11bb3fa2b60cbd96b386511
app/src/main/res/raw/nmgtv1.js,resources,2770,91,text-static-inventory,,ca0f8393af003105f016f6bfb363a72759d3de55f22d77cd2385adb6c3399911
app/src/main/res/raw/prev.js,resources,1087,32,text-static-inventory,,04c927d99582936a8f38ed33c2583e3d68d9c7584aeceea8f704a1463148a95d
app/src/main/res/raw/rawstablesource.txt,resources,2113,1,text-static-inventory,network,2f5095435e02c70c845a8ac8ca130d73ce641afa62b9e6b0700c197d6cc59c7c
app/src/main/res/raw/sources.txt,resources,174,1,text-static-inventory,,f347fb9df0fd59fe42b3270d3e84b14bb611c9b0c6b6a275e493fee2b04db999
